image_id,class,score,xmin,ymin,xmax,ymax,width,height
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.63,777,532,1022,888,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.61,640,586,778,806,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.56,278,725,362,890,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.49,462,709,487,767,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.42,278,736,361,890,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.42,589,678,641,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,pickup,0.41,533,670,578,738,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,car,0.36,522,687,537,722,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,minivan,0.31,589,680,642,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,van,0.28,533,671,578,738,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.28,776,532,1022,888,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,car,0.27,589,678,641,756,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bicycle,0.26,500,696,515,739,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,motorbike,0.25,500,699,515,739,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,suv,0.23,589,683,642,757,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,van,0.21,590,680,641,755,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,truck,0.19,641,618,776,807,1024,1024
Asraf_50_jpg.rf.7026694f0b9f37a6790982295c7e8663.jpg,bus,0.17,561,659,600,703,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.75,790,672,927,817,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,bus,0.69,790,647,857,677,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,motorbike,0.65,330,747,394,873,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.58,592,696,666,787,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.55,638,673,851,909,1024,1024
Asraf_51_jpg.rf.0e3516baf7509bc2c4a4aa8deea494c2.jpg,car,0.53,480,695,499,741,1024,1024
